epoch,loss,ppl,accuracy
0, 8.51191, 4973.64072,8.165
1, 7.34220, 1544.10575,14.901
2, 6.70803, 818.95289,20.008
3, 6.20237, 493.91636,23.884
4, 5.75095, 314.49029,27.814
5, 5.30936, 202.22148,32.332
6, 4.91617, 136.47958,36.518
7, 4.57234, 96.76988,40.397
8, 4.27315, 71.74753,44.043
9, 4.02316, 55.87717,47.317
10, 3.81751, 45.49087,50.174
11, 3.64869, 38.42435,52.654
12, 3.50951, 33.43180,54.787
13, 3.39468, 29.80514,56.569
14, 3.29913, 27.08910,58.148
15, 3.22085, 25.04943,59.420
16, 3.15522, 23.45812,60.519
17, 3.10086, 22.21695,61.459
18, 3.05603, 21.24313,62.208
19, 3.01949, 20.48079,62.826
20, 2.98985, 19.88278,63.315
21, 2.96355, 19.36666,63.773
22, 2.94451, 19.00138,64.089
23, 2.92909, 18.71060,64.366
24, 2.91568, 18.46139,64.587
25, 2.90578, 18.27942,64.746
26, 2.89783, 18.13481,64.892
27, 2.89186, 18.02680,64.999
28, 2.88662, 17.93258,65.080
29, 2.88308, 17.86923,65.151
